DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,P3050,P3051,P639,P3052,CLASE_TE,COD_DEPTO,AREA,F_EXP
7627444,1,1,2,1,5,6,2,44,"",60.0505152289288
7627446,1,1,1,1,5,6,2,44,"",86.3410749710799
7627449,1,1,1,1,2,2,1,68,"",139.884518053558
7627453,1,2,1,1,4,1,1,68,"",168.635440125079
7627456,1,3,1,3,1,2,1,68,"",64.6592726223051
7627459,1,1,2,2,5,3,1,68,"",64.6682120280561
7627461,1,1,1,1,3,3,1,68,"",140.867859323681
7627462,1,1,1,1,1,6,2,76,"",40.2809436267583
7627462,1,2,1,1,5,2,2,76,"",40.2809436267583
7627463,1,1,1,4,5,4,2,76,"",84.2745591502553
7627463,1,2,1,1,3,4,2,76,"",84.2745591502553
7627465,1,1,1,1,5,1,2,76,"",85.403227076484
7627465,1,2,3,1,5,1,2,76,"",85.403227076484
7627474,1,1,1,2,3,3,1,05,"",8.76575958777392
7627478,1,2,1,3,5,3,1,05,"",17.5307493867459
7627480,1,1,2,4,4,1,1,05,"",26.2883447320381
7627480,1,3,2,4,3,2,1,05,"",26.2883447320381
7627489,1,4,1,5,5,1,1,05,05,74.9230502355623
7627492,1,2,2,3,5,6,1,05,05,90.9560965949108
7627493,1,2,1,1,4,6,1,05,05,86.5760477378231
7627494,1,1,1,5,3,6,1,05,05,88.5540609360057
7627497,1,1,2,2,2,1,1,05,05,77.5705179590575
7627504,1,1,1,2,3,1,1,05,05,401.125592879572
7627511,1,1,1,2,5,1,1,05,05,91.7456756146731
7627514,1,1,2,2,5,3,1,05,05,95.433016265242
7627516,1,3,1,2,5,1,1,05,05,92.9051558076589
7627521,1,1,1,5,5,1,1,05,05,91.7456756146731
7627522,1,2,1,2,5,1,1,05,05,68.3361488673704
7627524,1,1,1,1,5,6,1,05,05,56.0668017645225
7627527,1,1,1,2,5,6,1,05,05,94.6728103074509
7627527,1,2,1,1,1,2,1,05,05,94.6728103074509
7627532,1,2,2,2,4,6,1,05,05,92.9223431852264
7627534,1,1,1,2,5,1,1,05,05,103.355408559894
7627537,1,5,1,1,3,2,1,05,05,97.6157316398454
7627538,1,2,1,1,2,6,1,05,05,127.146007289234
7627543,1,10,1,1,5,6,1,05,05,75.8238429816445
7627545,1,1,1,1,3,6,1,05,05,85.9962663767919
7627549,1,2,1,2,5,1,1,05,05,139.815672852952
7627563,1,1,1,6,5,6,1,05,05,73.3965404917385
7627564,1,1,1,1,5,6,1,05,05,79.3011007675515
